,CHARACTER NAME
0,Mickey Mouse
1,Betty Boop
2,Bart Simpson
3,SpongeBob SquarePants
4,Steven Universe
5,Homer Simpson
6,Scooby-Doo
7,Fred Flintstone
8,Snoopy
9,Charlie Brown
10,Bugs Bunny
11,Felix the Cat
12,Jerry the Mouse
13,Garfield
14,Popeye
15,Yogi Bear
16,Bender
17,Stewie Griffin
18,Rosie the Robot
19,Arthur Read
20,Rick Sanchez
21,Eric Cartman
22,Dora the Explorer
23,Space Ghost
24,Roger Rabbit
25,Pikachu
26,She-Ra
27,Foghorn Leghorn
28,Chicken Boo
29,Curious George
30,Smurfette
31,Haruka
32,Brad Boimler
33,Retsuko (Aggretsuko)
34,Rainbow Dash
35,Ms. Frizzle
36,Inspector Gadget
37,Jake the Dog
38,Strong Bad
39,Donald Duck
40,Darkwing Duck
41,Bubbles
42,Star Butterfly
43,Porky Pig
44,Strawberry Shortcake
45,Bobby Hill
46,Squidward Tentacles
47,Jem
48,Simon Seville
49,Pinky
50,Stitch
51,Bill Cipher
52,Courage the Cowardly Dog
53,Raven
54,Dot Warner
55,Louise Belcher
56,Dexter
57,Perry the Platypus
58,Speed Racer
59,The Pink Panther
