,CHARACTER NAME
0,Hal Jordan
1,Batman
2,Dick Grayson
3,Cyclone
4,Superman
5,Lex Luthor
6,Joker
7,Tim Drake
8,Damian Wayne
9,Kyle Rayner
10,Green Arrow
11,Ted Kord
12,Batwoman
13,Supergirl
14,Stargirl
15,Darkseid
16,Guy Gardner
17,Alfred Pennyworth
18,Wally West
19,Aquaman
20,Thom Kallor
21,Arisia
22,Kilowog
23,Saint Walker
24,Sinestro
25,Ragman
26,Jason Todd
27,Barbara Gordon
28,John Stewart
29,Barry Allen
30,Power Girl
31,Wonder Woman
32,Deathstroke
33,Lois Lane
34,Booster Gold
35,Elongated Man
36,Maxwell Lord
37,Kon-El
38,Krypto
39,Ganthet
40,James Gordon
41,Etrigan
42,Two-Face
43,Stephanie Brown
44,Catman
45,Harvey Bullock
46,Jimmy Olsen
47,Scarecrow
48,Carol Ferris
49,Sue Dibny
50,Ra's al Ghul
51,Ice
52,Blue Beetle (Reyes)
53,Ventriloquist (Wesker)
54,Black Adam
55,Miss Martian
56,Larfleeze
57,Detective Chimp
58,Alan Scott
59,Phantom Girl
60,Zatanna
61,Atrocitus
62,Mr. Mxyzptlk
63,Harley Quinn
64,Gypsy
65,Kate Spencer
66,Black Canary
67,Poison Ivy
68,Knockout
69,Renee Montoya
70,Scandal Savage
71,Bane
72,Fire
73,Bizarro
74,Billy Batson
75,Amanda Waller
76,Jeannette
77,Talia al Ghul
78,Huntress (Bertinelli)
79,Deadshot
80,Phantom Stranger
81,Martian Manhunter
82,Mr. Freeze
83,Superboy Prime
84,Ragdoll
85,Dream Girl
86,Mera
87,Starfire
88,Catwoman
89,Penguin
90,Steel
91,Bart Allen
92,Deadman
93,Jade
94,Ray Palmer
95,Wonder Girl
96,Jay Garrick
97,Static
98,Beast Boy
99,Killer Croc
100,
101,Where does your image live?
102,URL Address
103,Previous uploads
104,Search the site
105,Uploading image
106,Privacy Settings
107,Manage Consent Preferences
108,Back Button Back
109,Across
110,Across
