,CHARACTER NAME
0,Wolverine
1,Spider-Man
2,Thor
3,Iron Man
4,Hulk
5,Captain America
6,Daredevil
7,Punisher
8,Deadpool
9,Silver Surfer
10,Gambit
11,Cyclops
12,Mr. Fantastic
13,Nightcrawler
14,Nick Fury
15,Human Torch
16,Iceman
17,Professor X
18,Colossus
19,Bucky Barnes
20,Doctor Strange
21,Storm
22,Jean Grey
23,Rogue
24,Elektra
25,Emma Frost
26,Thing
27,Black Bolt
28,She-Hulk
29,Invisible Woman
30,Namor
31,Black Panther
32,Beast
33,Kitty Pryde
34,Sentry
35,Hawkeye
36,Luke Cage
37,Iron Fist
38,Scarlet Witch
39,Cable
40,Hercules
41,X-23
42,Hank Pym
43,Moon Knight
44,Angel
45,Betsy Braddock
46,War Machine
47,Carol Danvers
48,Black Cat
49,Captain Marvel
50,Warpath
51,Madrox
52,Quicksilver
53,Spider-Woman
54,Domino
55,Vision
56,Black Widow
57,Blade
58,Speedball
59,Morph
60,Nova
61,Wasp
62,Wonder Man
63,Beta Ray Bill
64,Falcon
65,Tigra
66,Mimic
67,Captain Britain
68,Songbird
69,Quasar
70,Shang-Chi
71,Strong Guy
72,Ka-Zar
73,Havok
74,Rick Jones
75,Amadeus Cho
76,Dagger
77,Cloak
78,Adam Warlock
79,Molly Hayes
80,Jessica Jones
81,Howard the Duck
82,Squirrel Girl
83,Wiccan
84,Cannonball
85,Longshot
86,Magik
87,Jubilee
88,Hulkling
89,Machine Man
90,Black Knight
91,Northstar
92,Rachel Grey
93,Firestar
94,Layla Miller
95,Nico Minoru
96,Eric O'Grady
97,Ben Reilly
98,Spectrum
99,Dazzler
100,
