,CHARACTER NAME
0,Moonstar
1,Banshee
2,Justice
3,Blink
4,Genis-Vell
5,Polaris
6,Harry Osborn
7,Spider-Man 2099
8,Noh-Varr
9,Warlock
10,Wolfsbane
11,Aunt May
12,Valkyrie
13,Bishop
14,M
15,Man-Thing
16,Jim Hammond
17,The Captain
18,Moondragon
19,Sasquatch
20,U-Go Girl
21,Union Jack
22,Drax the Destroyer
23,Julia Carpenter
24,Watcher
25,Spider-Girl (Parker)
26,Rocket Raccoon
27,Killraven
28,Lockheed
29,Ant-Man (Lang)
30,Stingray
31,Cypher
32,Warriors Three
33,Phyla-Vell
34,Pete Wisdom
35,Siryn
36,Ares
37,Foggy Nelson
38,Medusa
39,Namorita
40,Hyperion
41,Xorn
42,Hellstorm
43,Hellcat
44,Sunfire
45,Jack Monroe
46,Guardian
47,Hellion
48,Franklin Richards
49,Echo
50,Thunderstrike
51,Heather McNeil Hudson
52,X-Man
53,Star-Lord
54,Slapstick
55,Jack of Hearts
56,Agent-X
57,U.S.Agent
58,Ben Urich
59,Forge
60,Iron Lad
61,Lockjaw
62,Major Victory
63,Rictor
64,Fantomex
65,Spitfire
66,Nighthawk
67,Nocturne
68,Cassie Lang
69,Gwen Stacy
70,Puck
71,Doctor Voodoo
72,Darkstar (Petrovna)
73,Eternity
74,Clea
75,Elixir
76,Trauma
77,Doc Samson
78,Shatterstar
79,Mantis
80,Mockingbird
81,White Tiger
82,Yelena Belova
83,Paladin
84,Sharon Carter
85,Deathlok
86,"D Man (Garrett, Jr.)"
87,Ronan
88,Black Goliath
89,Anole
90,Andreas von Strucker
91,Night Thrasher
92,Pixie
93,Sif
94,Colleen Wing
95,Corsair
96,Mercury
97,Husk
98,Dakota North
