Characters,Locations,Situations,Problems,Jobs
Spiderman,Home,Zoom Calls,Bad Wifi,"Digital FX, Digital Artist"
captain America ,Walmart,sort stuff,gun shooting,flower shop
iron man,greenhouse ,plant flowers ,flowers don't grow,Hair Stylest 
Hulk,A cabinet shop ,Make cabinets ,Cut off their hand ,Millionaire 
Wanda,Orchard Hills Elementary,clean,not clean enough,IDK
Ant-Man,Rowelys red barn,Scoop ice cream,Spill ice cream,lawyer 
black panther,Maracas mexican grill,im a waitress,get hair in someone's food,Coder
Moon Knight,Macey's,Service Counter,It's my brother,vending machine stocker
Wolverine,Cabinet Shop,Put on drawer fronts,put on the drawer front backwards,Film Director 
Bucky Barnes,Parks and Recreation Installation,Business things,The people of Walmart getting out of hand,Movie Director
dr strange ,costa vida,Build playgrounds,injuries,Be an entrepreneur and start my own business
DeadPool,I worked at Macys ,Make aisle look nice and neat,Somebody coming through the aisles and knocking everything off the shelves,NFL football player
Superman,Ryan Reynolds office,make food,they get burnt ,be a millionaire 
Batman,The bathroom in C hall,I bag items for people,I could not double bag an item ,To take Ryan Reynolds job
wonder women,bathroom,Look at Ryan Reynolds,Ryan Reynold shows fires you,
Wonder Woman ,lunchroom,Talk to friends,A fight,
Flash,The Main Gym ,friends,bad grades,
Hal Jordan,gym,kiss people ,The bees invade,
Aquaman,underground track,Hangout with friends ,Wood shop burns down,
Dr Fate,The set of The Pride,Leave,Sewage getting backed up,
Batman or Joker,cafeteria,Sluff,bombed,
Black Adam,Lion Statue ,play hay day,Ryan Reynold dosn't show up,
Green Lantern,The locker room bathrooms,Play Smash Bros.,Everyone staring at you,
Spongebob,Video production room,Take photos,Someone rips their pants ,
Donald Duck,down stairs track ,sleep,thrown in trash,
elsa,Ryan Reynold shrine 2.0,theatre,Get dumped,
Mickey Mouse ,Little Caesars,Hangout with friends,walk out the bathroom with tp ,
Homer Simpson,P-hill,lift weights,I walk into the wrong class,
Ferb,Payson market,lacrosse ,get your car stolen,
Sponge bod,Memorial Park ,Look at Ryan Renolds,You buy chips but they get stuck in the machine,
Jotaro Kujo,Temple,,Fall on you face,
Beavis (butthead and beavis),My House,,Rip pants open,
Beavis,parson Walmart,,come with no pants,
Bart Simpson,Memorial Park,,get pantsed ,
Phineas,Theatre Room,,Ryan Reynolds makes fun of you,
phinease ,Payson pool,,Someone telling a joke,
Theo,Main Street ,,u poop ur pants,
Daxton Wagner,Ryan Reynold shrine,,Someone pees their pants ,
Arnold,,,someone telling jokes,
Taryn degroff,,,be on the pride,
Sophia Carr ,,,a lion gets let into the school,
jared Watkins,,,Rap battle breaks out in the halls,
Spencer King,,,someone else falling on their face,
Nick Dansie,,,Have a roast battle,
Kyle Stanworth,,,people run around screaming,
Taryn,,,I pantsed a kid and under came down ,
Mr Marchant,,,Ryan Reynolds Plays patty cake with you,
Brinley Bettis,,,,
Dylan Wall,,,,
sam,,,,
braden berhend ,,,,
Abraham Lincoln,,,,
Napoleon,,,,
gorge Washington,,,,
Elvis Presly ,,,,
George Washington,,,,
Martin Luther King,,,,
Vincent Van go,,,,
John Wilkes Booth,,,,
Benjamin Franklin,,,,
Playboi Carti,,,,
Christipher Nolan,,,,
George w bush ,,,,
Ryan Reynolds,,,,
