,CHARACTER NAME
0,Magneto
1,Joker
2,Doctor Doom
3,Lex Luthor
4,Galactus
5,Darkseid
6,Ra's al Ghul
7,Loki
8,Kingpin
9,Catwoman
10,Two-Face
11,Norman Osborn
12,Red Skull
13,Sinestro
14,Black Adam
15,Brainiac
16,Mystique
17,Juggernaut
18,Bullseye
19,Ozymandias
20,Venom
21,Ultron
22,Apocalypse
23,Bizarro
24,Kid Marvelman
25,Captain Cold
26,Doctor Octopus
27,Mr. Sinister
28,General Zod
29,Eobard Thawne
30,Deathstroke
31,Cyborg Superman
32,Bane
33,Gorilla Grodd
34,Vandal Savage
35,Zoom
36,Sentinels
37,Shredder
38,Baron Helmut Zemo
39,Mongul
40,Talia al Ghul
41,Deadshot
42,Harley Quinn
43,Doomsday
44,Thanos
45,Mephisto
46,Anti-Monitor
47,Cassandra Nova
48,Penguin
49,Metallo
50,Kraven the Hunter
51,Abomination
52,Sebastian Shaw
53,Dormammu
54,Hobgoblin (Kingsley)
55,Scarecrow
56,Riddler
57,Amanda Waller
58,Parasite
59,Lizard
60,Leader
61,Poison Ivy
62,Kang
63,Herr Starr
64,Mr. Freeze
65,Lucifer Morningstar
66,Cheetah (Minerva)
67,William Stryker
68,Thunderbolt Ross
69,Sandman
70,Clayface (Karlo)
71,Saint of Killers
72,Magog
73,Mr. Mxyzptlk
74,Proteus
75,Lady Deathstrike
76,Mirror Master (McCulloch)
77,Prometheus
78,Mandarin
79,Dr. Sivana
80,Grigori Rasputin
81,Arthur Light
82,Mysterio
83,The Governor
84,Electro
85,Hunter Rose
86,Shade
87,Carnage
88,Parallax
89,Omni-Man
90,Annihilus
91,Omega Red
92,Despero
93,Violator
94,Mastermind
95,Fin Fang Foom
96,M.O.D.O.K.
97,
